,btc_open,btc_close,btc_high,btc_low,btc_volume,btc_amount,eth_open,eth_close,eth_high,eth_low,eth_volume,eth_amount,xrp_open,xrp_close,xrp_high,xrp_low,xrp_volume,xrp_amount,Open,High,Low,Close,Adj Close,Volume,usdcny
2019-01-04,3789.0,3772.156039,3838.67454,3756.410862,93.87299278,356597.99444309,152.536302,152.831518,158.87187,152.0,4192.5243529,650367.29788083,0.356165,0.349799,0.359,0.3465,8570.9215,3035.1333761,2474.330078125,2538.070068359375,2474.330078125,2531.93994140625,2531.93994140625,4213410000,6.864860124528633
2019-01-07,3977.721738,3956.635321,4061.280555,3925.0,147.21892131,587592.69501112,149.420455,147.369383,151.5,145.53593,2084.1797567,308997.080245,0.360059,0.358847,0.365414,0.355283,22620.9778,8161.56766526,2535.610107421875,2566.159912109375,2524.56005859375,2549.68994140625,2549.68994140625,4104710000,6.851987767584098
2019-01-08,3953.740659,3967.16117,3999.999999,3940.0,76.47467368,303978.95594761,147.480905,148.135629,151.313707,147.201128,1258.3188737,187672.33997613,0.361622,0.365077,0.366243,0.359512,13905.4309,5035.44791152,2568.110107421875,2579.820068359375,2547.56005859375,2574.409912109375,2574.409912109375,4083030000,6.853583916083917
2019-01-09,3962.210833,3582.995912,3995.174297,3538.410921,325.97319435,1211033.22596262,148.178269,125.088792,149.253377,121.161104,8029.2807443,1038952.42567714,0.365073,0.32518,0.376958,0.313351,44500.2755,15298.01515076,2580.0,2595.320068359375,2568.889892578125,2584.9599609375,2584.9599609375,4052480000,6.828982976865998
2019-01-10,3582.670179,3601.765191,3647.694494,3532.298156,142.56370214,512027.95924568,125.005028,124.828228,127.158351,120.249906,3111.8976987,386753.58546569,0.321653,0.319837,0.331434,0.317999,15443.3195,4986.76129879,2573.510009765625,2597.820068359375,2562.02001953125,2596.639892578125,2596.639892578125,3704500000,6.780494148244474
2019-01-14,3621.054803,3558.825309,3644.873222,3523.408177,110.15239767,397113.52063823,127.083486,119.263367,129.22024,116.202314,3445.6486026,425800.06800588,0.327485,0.323683,0.332915,0.318972,19225.347,6282.64845668,2580.31005859375,2589.320068359375,2570.409912109375,2582.610107421875,2582.610107421875,3664450000,6.7668091043865
2019-01-15,3553.0,3585.539637,3637.545485,3544.18794,57.4263797,205928.81975077,119.077719,121.485035,126.594178,118.495578,3258.6021573,394924.54231479,0.320117,0.325967,0.340636,0.320117,10751.5827,3532.92492008,2585.10009765625,2613.080078125,2585.10009765625,2610.300048828125,2610.300048828125,3572330000,6.760329131652661
2019-01-16,3590.559117,3613.059078,3629.854475,3536.929827,79.12894776,284101.05425161,121.417973,121.643726,122.797854,117.202273,2766.9947047,332803.26766532,0.323614,0.325877,0.32699,0.318999,14944.1983,4827.19928485,2614.75,2625.760009765625,2612.679931640625,2616.10009765625,2616.10009765625,3863770000,6.76249012204759
2019-01-29,3407.693594,3465.360373,3479.461934,3380.00245,73.39707201,252612.87216978,104.447803,108.351521,109.548432,103.600961,1577.5775572,168338.81843408,0.2875,0.319475,0.325318,0.285319,71508.1755,22506.52842284,2644.889892578125,2650.929931640625,2631.050048828125,2640.0,2640.0,3504200000,6.734985116441954
2019-01-30,3460.586454,3435.476794,3494.64171,3418.681646,78.54289437,270782.32608509,108.265936,106.421753,110.198654,105.390266,1359.6558882,146055.02997882,0.328739,0.30889,0.331705,0.306299,19856.1588,6196.64185927,2653.6201171875,2690.43994140625,2648.340087890625,2681.050048828125,2681.050048828125,3867810000,6.7168606177268355
2019-01-31,3435.406627,3464.166444,3482.323556,3400.0,144.62884507,498243.11577172,106.449398,107.019857,108.207956,103.5,982.2323782,104198.09775938,0.303966,0.309519,0.31313,0.299206,23293.4772,7105.72433445,2685.489990234375,2708.949951171875,2678.64990234375,2704.10009765625,2704.10009765625,4917650000,6.703516713091921
2019-02-05,3472.822004,3402.988749,3480.553146,3382.197503,94.95231473,323853.64539735,107.559994,104.549534,107.57419,101.572207,1427.1675925,148275.57722394,0.298812,0.289352,0.298837,0.28858,11190.8298,3287.12457862,2728.340087890625,2738.97998046875,2724.030029296875,2737.699951171875,2737.699951171875,3560430000,6.73535848726254
2019-02-11,3644.976124,3632.008858,3660.0,3580.182806,100.49730954,363945.58597688,120.370401,122.327107,123.552928,118.328083,1030.8154494,124883.95105421,0.301,0.305,0.305002,0.2985,14830.3884,4463.59756968,2712.39990234375,2718.050048828125,2703.7900390625,2709.800048828125,2709.800048828125,3361970000,6.789371297196922
2019-02-19,3910.50002727,3974.99139506,4050.0,3870.354929,185.91487149,731280.5034571713,143.425702,148.13728,149.502829,140.25,1732.5151409,251036.18581328233,0.321302,0.331888,0.332172,0.310896,60534.28804452,19636.38762836139,2769.280029296875,2787.330078125,2767.2900390625,2779.760009765625,2779.760009765625,3533710000,6.766247565078803
2019-02-20,3973.126369,3937.647732,4013.75503992,3900.55121299,186.2813744797393,732176.163221023,148.268947,145.624824,149.385791,140.139006,3725.147065365469,540294.6697661668,0.33169,0.31927,0.33169,0.315183,33427.44049724,10775.596185802448,2779.050048828125,2789.8798828125,2774.06005859375,2784.699951171875,2784.699951171875,3835450000,6.722271204373126
2019-02-21,3939.999999,3971.746659,3985.52778809,3928.96279679,63.1567342806619,249866.7568111669,145.559743,147.22,148.686353,144.121275,594.958681590775,87414.90029200833,0.318799,0.320391,0.32774,0.315101,13717.243122145,4385.071495140429,2780.239990234375,2781.580078125,2764.550048828125,2774.8798828125,2774.8798828125,3559710000,6.717896776466444
2019-02-22,3959.14205667,4112.900968,4158.08648551,3934.81928255,73.1595138209439,295494.1877477411,147.24,157.7,159.447374,145.877727,1724.351911289353,264066.16610449867,0.321492,0.333277,0.334973,0.315104,31429.771871917,10283.292654129886,2780.669921875,2794.199951171875,2779.110107421875,2792.669921875,2792.669921875,3427810000,6.720441501103752
2019-02-25,3824.986869,3810.2960346,3849.999992,3785.00000611,61.1171429422563,233178.5925767428,138.124894,136.339999,138.250595,133.878039,884.730786599441,120285.36324539181,0.327251,0.315,0.338999,0.315,58031.47648298,18915.474311189446,2804.35009765625,2813.489990234375,2794.989990234375,2796.110107421875,2796.110107421875,3804380000,6.6888595332452665
2019-02-26,3810.79603462,3816.3,3835.24660653,3690.0,113.5907048159308,431415.9553905444,136.043612,135.030161,139.98,126.994895,1737.69538378157,230916.03382155966,0.313656,0.308111,0.32324,0.302871,12045.208728917,3765.014996141487,2792.360107421875,2803.1201171875,2789.469970703125,2793.89990234375,2793.89990234375,3645680000,6.696329548455242
2019-02-27,3814.01549251,3816.1300759,3885.0,3775.8066242,88.3197211947235,338341.1420888674,134.992216,135.18,138.573221,132.333501,2085.635119787444,283434.0575263647,0.310295,0.31538,0.31817,0.30749,18405.21172257,5751.21225173598,2787.5,2795.760009765625,2775.1298828125,2792.3798828125,2792.3798828125,3767130000,6.681275250307395
2019-02-28,3816.1300759,3821.6,3870.0,3810.05341961,50.4573625562304,193518.52778609522,135.210845,135.07,137.89,133.406312,913.162358754161,124270.87786425199,0.31538,0.31162,0.32946,0.31162,7177.5613392,2298.782312895619,2788.110107421875,2793.72998046875,2782.510009765625,2784.489990234375,2784.489990234375,4396930000,6.684390329362299
2019-03-01,3821.6,3824.1,3841.5,3757.0,46.3908530062309,176889.46412322964,135.25,132.3,136.01,130.31,1458.379851943198,193826.06752623248,0.314,0.31548,0.3185,0.31054,5222.91355481,1643.564361592209,2798.219970703125,2808.02001953125,2787.3798828125,2803.68994140625,2803.68994140625,3972280000,6.705789334973206
2019-03-04,3723.2,3855.0,3877.6,3702.9,138.1106287389782,525838.7409935319,125.72,136.71,137.69,125.18,2366.755929546743,313925.5668081832,0.30315,0.32036,0.32036,0.30122,11255.102001759,3545.826742897946,2814.3701171875,2816.8798828125,2767.659912109375,2792.81005859375,2792.81005859375,3919810000,6.702390403104878
2019-03-05,3855.0,3861.2,3889.0,3810.0,91.2795971186747,351590.4576598391,136.83,137.28,140.0,133.65,1787.764599423722,244495.3801193115,0.31062,0.31585,0.32036,0.31062,6954.65397566,2176.19664721444,2794.409912109375,2796.43994140625,2782.969970703125,2789.64990234375,2789.64990234375,3585690000,6.703062935828404
